,date,payment,sku,product name,variant,price,quantity
0,2020-12-22T15:04:57,paypal,lm-01,Bamboo Chopstick Sets,,32,1
1,2020-12-17T18:52:16,bacs,sw-10,Passport Case,black,40,1
2,2020-12-17T13:35:04,paypal,rm-02,Ryumonji Tea Cup,,22,1
3,2020-12-15T21:44:12,paypal,tk-08,Waori Notebook,,22,1
4,2020-12-15T15:30:29,paypal,tk-07,Phönix Notebook,,22,1
5,2020-12-15T15:30:29,paypal,tk-02,Fächer Notebook,,22,1
6,2020-12-14T22:05:33,bacs,to-97,Donburi Bowl,4-sun,27,1
7,2020-12-12T11:42:38,paypal,tb-01,Tanba Tea Cup,,22,1
8,2020-12-11T14:11:29,paypal,tk-03,Kyoaka Notebook,,22,1
9,2020-12-11T14:11:29,paypal,mb-03,Furoshiki,sakura,22,1
10,2020-12-09T20:43:58,paypal,to-95,Sushi Plate (Slim),mitsumon,30,1
11,2020-12-09T20:43:58,paypal,to-98,Sushi Plate,karakusa,30,1
12,2020-12-09T20:43:58,paypal,to-98,Sushi Plate,mitsumon,30,1
13,2020-12-07T14:08:21,paypal,rm-06,Ryumonji Vase,,30,1
